,Continent,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,html_link
0,Oceana, Australia,"Carnarvon, WA",-24.48564; 113.40866,1964–1965,12  , ,120 km  ,no notes found,
0,Oceana, Australia,"Lancelin, WA",-30.98309; 115.31774,1974–1974,2  , , ,During a total solar eclipse,"<a href=""https://en.wikipedia.org/wiki/Total_solar_eclipse"">Total_solar_eclipse text</a>"
0,Oceana, Australia,"Koonibba Test Range, SA",-31.885558; 133.448686,2019–,4  ,,85 km  ,Used by Southern Launch for suborbital launch tests,"<a href=""https://en.wikipedia.org/wiki/Southern_Launch"">Southern_Launch text</a>"
0,Oceana, Australia,"Whalers Way Orbital Launch Complex, SA",-34.934; 135.6523,2020–,,,,Used by Southern Launch for orbital polar launches,"<a href=""https://en.wikipedia.org/wiki/Southern_Launch"">Southern_Launch text</a>"
0,Oceana, Australia,"Arnhem Space Centre, NT",-12.378021; 136.821402,2021–,2  ,,327 km  ,no notes found,
0,Oceana, Marshall Islands,"Reagan Test Site, Omelek Island, Kwajalein Atoll",9.048167; 167.743083,1950s–, ,"39,000 kg  ",Orbital  ,US-controlled ICBM base converted for satellites. SpaceX Falcon 1. Close to the equator.,"<a href=""https://en.wikipedia.org/wiki/Launch_facility_(ICBM)"">Launch_facility_(ICBM) text</a>"
0,Oceana, New Zealand,Birdling's Flat,-43.81700; 172.68300,1980s–,10<  , , ,no notes found,
0,Oceana, New Zealand,Great Mercury Island,-36.35511; 175.46006,2009,1,60  kg,120  km,Used for the first launch by Rocket Lab of their Atea 1 suborbital rocket.,"<a href=""https://en.wikipedia.org/wiki/Rocket_Lab"">Rocket_Lab text</a>"
0,Oceana, New Zealand,"Rocket Lab Launch Complex 1, Mahia Peninsula",-39.26044; 177.86431,2017–,42[89],"13,000 kg[90]",Lunar  ,Launch site built and operated by Rocket Lab. First commercial spaceport in the southern hemisphere.,"<a href=""https://en.wikipedia.org/wiki/Rocket_Lab"">Rocket_Lab text</a>"
0,Launches at Sea, Denmark,MLP Sputnik,55.04917; 15.60306,2010–,4  ,"1,630 kg  ",8.2 km  ,Mobile satellite launch platform operated by Copenhagen Suborbitals.,"<a href=""https://en.wikipedia.org/wiki/Copenhagen_Suborbitals"">Copenhagen_Suborbitals text</a>"
